codigo,nome,descricao,compatibilidade,marca,categoriaSistema,fornecedor
194625,"CABO ACEL. BIZ 110i / 125 18/22 A","CABO ACEL. BIZ 110i / 125 18/22 A","CABO ACEL. BIZ 110i / 125 18/22 A",IRON,"Cabos de Acelerador",MOTOCICLO
194626,"CABO ACEL. BIZ 100i / 125 18/22 B","CABO ACEL. BIZ 100i / 125 18/22 B","CABO ACEL. BIZ 100i / 125 18/22 B",IRON,"Cabos de Acelerador",MOTOCICLO
194627,"CABO ACEL. CBR 500R CB 500F 14/19 A","CABO ACEL. CBR 500R CB 500F 14/19 A","CABO ACEL. CBR 500R CB 500F 14/19 A",IRON,"Cabos de Acelerador",MOTOCICLO
194628,"CABO ACEL. CBR 500R CB 500F 14/19 B","CABO ACEL. CBR 500R CB 500F 14/19 B","CABO ACEL. CBR 500R CB 500F 14/19 B",IRON,"Cabos de Acelerador",MOTOCICLO
194629,"CABO ACEL. CG 125I / 16 A","CABO ACEL. CG 125I / 16 A","CABO ACEL. CG 125I / 16 A",IRON,"Cabos de Acelerador",MOTOCICLO
194630,"CABO ACEL. CG 125I / 16 B","CABO ACEL. CG 125I / 16 B","CABO ACEL. CG 125I / 16 B",IRON,"Cabos de Acelerador",MOTOCICLO
194671,"CABO ACEL. COMET 150 KASINSKI","CABO ACEL. COMET 150 KASINSKI","CABO ACEL. COMET 150 KASINSKI",IRON,"Cabos de Acelerador",MOTOCICLO
194668,"CABO ACEL. CRF A 19-22","CABO ACEL. CRF A 19-22","CABO ACEL. CRF A 19-22",IRON,"Cabos de Acelerador",MOTOCICLO
194669,"CABO ACEL. CRF 250 B 19/22","CABO ACEL. CRF 250 B 19/22","CABO ACEL. CRF 250 B 19/22",IRON,"Cabos de Acelerador",MOTOCICLO
25842,"CABO ACEL. BIZ 100 13","CABO ACEL. BIZ 100 13","CABO ACEL. BIZ 100 13",IRON,"Cabos de Acelerador",MOTOCICLO
27595,"CABO ACEL. AN 125 BURGMAN 10","CABO ACEL. AN 125 BURGMAN 10","CABO ACEL. AN 125 BURGMAN 10",IRON,"Cabos de Acelerador",MOTOCICLO
4901,"CABO ACEL. BIZ 100 99/05","CABO ACEL. BIZ 100 99/05","CABO ACEL. BIZ 100 99/05",IRON,"Cabos de Acelerador",MOTOCICLO
27596,"CABO ACEL. BIZ 125 09/10","CABO ACEL. BIZ 125 09/10","CABO ACEL. BIZ 125 09/10",IRON,"Cabos de Acelerador",MOTOCICLO
28334,"CABO ACEL. CB 250 16 A","CABO ACEL. CB 250 16 A","CABO ACEL. CB 250 16 A",IRON,"Cabos de Acelerador",MOTOCICLO
28335,"CABO ACEL. CB 250 16 B","CABO ACEL. CB 250 16 B","CABO ACEL. CB 250 16 B",IRON,"Cabos de Acelerador",MOTOCICLO
14099,"CABO ACEL. CG 125 00/01","CABO ACEL. CG 125 00/01","CABO ACEL. CG 125 00/01",IRON,"Cabos de Acelerador",MOTOCICLO
194670,"CABO ACEL. COMET GTR 250 KASINSKI","CABO ACEL. COMET GTR 250 KASINSKI","CABO ACEL. COMET GTR 250 KASINSKI",IRON,"Cabos de Acelerador",MOTOCICLO
9025,"CABO ACEL. CG 125 83/89","CABO ACEL. CG 125 83/89","CABO ACEL. CG 125 83/89",IRON,"Cabos de Acelerador",MOTOCICLO
24029,"CABO ACEL. CG 150 12/13","CABO ACEL. CG 150 12/13","CABO ACEL. CG 150 12/13",IRON,"Cabos de Acelerador",MOTOCICLO
121349,"CABO ACEL. CB 300R B","CABO ACEL. CB 300R B","CABO ACEL. CB 300R B",IRON,"Cabos de Acelerador",MOTOCICLO
7901,"CABO ACEL. CBX 250 A","CABO ACEL. CBX 250 A","CABO ACEL. CBX 250 A",IRON,"Cabos de Acelerador",MOTOCICLO
27600,"CABO ACEL. CB 600 HORNET 09 A","CABO ACEL. CB 600 HORNET 09 A","CABO ACEL. CB 600 HORNET 09 A",IRON,"Cabos de Acelerador",MOTOCICLO
15236,"CABO ACEL. CG 125 02/08","CABO ACEL. CG 125 02/08","CABO ACEL. CG 125 02/08",IRON,"Cabos de Acelerador",MOTOCICLO
25848,"CABO ACEL. CG 125 14","CABO ACEL. CG 125 14","CABO ACEL. CG 125 14",IRON,"Cabos de Acelerador",MOTOCICLO
27602,"CABO ACEL. CG 125 15 A","CABO ACEL. CG 125 15 A","CABO ACEL. CG 125 15 A",IRON,"Cabos de Acelerador",MOTOCICLO
4405,"CABO ACEL. CG 125 95/99","CABO ACEL. CG 125 95/99","CABO ACEL. CG 125 95/99",IRON,"Cabos de Acelerador",MOTOCICLO
121351,"CABO ACEL. CG 150 04/08","CABO ACEL. CG 150 04/08","CABO ACEL. CG 150 04/08",IRON,"Cabos de Acelerador",MOTOCICLO
15742,"CABO ACEL. CG 150 09/11","CABO ACEL. CG 150 09/11","CABO ACEL. CG 150 09/11",IRON,"Cabos de Acelerador",MOTOCICLO
43148,"CABO ACEL. CG 150 SPORT","CABO ACEL. CG 150 SPORT","CABO ACEL. CG 150 SPORT",IRON,"Cabos de Acelerador",MOTOCICLO
28336,"CABO ACEL. CG 160 A","CABO ACEL. CG 160 A","CABO ACEL. CG 160 A",IRON,"Cabos de Acelerador",MOTOCICLO
28337,"CABO ACEL. CG 160 B","CABO ACEL. CG 160 B","CABO ACEL. CG 160 B",IRON,"Cabos de Acelerador",MOTOCICLO
25853,"CABO ACEL. CG/FAN 150 A 14","CABO ACEL. CG/FAN 150 A 14","CABO ACEL. CG/FAN 150 A 14",IRON,"Cabos de Acelerador",MOTOCICLO
27603,"06","06","06",IRON,"Geral",MOTOCICLO
25854,"CABO","CABO","CABO",IRON,"Cabos",MOTOCICLO
27604,"CABO ACEL. CRF 230 A 07","CABO ACEL. CRF 230 A 07","CABO ACEL. CRF 230 A 07",IRON,"Cabos de Acelerador",MOTOCICLO
27607,"CABO ACEL. CG/FAN 150 B 14","CABO ACEL. CG/FAN 150 B 14","CABO ACEL. CG/FAN 150 B 14",IRON,"Cabos de Acelerador",MOTOCICLO
43155,"CABO ACEL. CRF 230 A 08/10","CABO ACEL. CRF 230 A 08/10","CABO ACEL. CRF 230 A 08/10",IRON,"Cabos de Acelerador",MOTOCICLO
43156,"CABO ACEL. DAFRA APACHE 150","CABO ACEL. DAFRA APACHE 150","CABO ACEL. DAFRA APACHE 150",IRON,"Cabos de Acelerador",MOTOCICLO
27609,"CABO ACEL. DAFRA CITYCOM 300 A","CABO ACEL. DAFRA CITYCOM 300 A","CABO ACEL. DAFRA CITYCOM 300 A",IRON,"Cabos de Acelerador",MOTOCICLO
27612,"CABO ACEL. DAFRA CITYCOM 300 B","CABO ACEL. DAFRA CITYCOM 300 B","CABO ACEL. DAFRA CITYCOM 300 B",IRON,"Cabos de Acelerador",MOTOCICLO
27610,"CABO ACEL. DAFRA CITYCOM 300I B 12","CABO ACEL. DAFRA CITYCOM 300I B 12","CABO ACEL. DAFRA CITYCOM 300I B 12",IRON,"Cabos de Acelerador",MOTOCICLO
27613,"CABO ACEL. KAWASAKI NINJA 250 A","CABO ACEL. KAWASAKI NINJA 250 A","CABO ACEL. KAWASAKI NINJA 250 A",IRON,"Cabos de Acelerador",MOTOCICLO
27614,"CABO ACEL. DAFRA NEXT 250 A","CABO ACEL. DAFRA NEXT 250 A","CABO ACEL. DAFRA NEXT 250 A",IRON,"Cabos de Acelerador",MOTOCICLO
43146,"CABO ACEL. KAWASAKI NINJA 250 B","CABO ACEL. KAWASAKI NINJA 250 B","CABO ACEL. KAWASAKI NINJA 250 B",IRON,"Cabos de Acelerador",MOTOCICLO
11576,"CABO ACEL. LEAD 110 JONNY 50","CABO ACEL. LEAD 110 JONNY 50","CABO ACEL. LEAD 110 JONNY 50",IRON,"Cabos de Acelerador",MOTOCICLO
